date,listing_id_encod,listing_id,reviewer_id,reviewer_name,comments,host_id,host_name,host_description,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2019-11-06,119,2650231,92266235,K2,The host canceled this reservation 54 days before arrival. This is an automated posting.,13566516,Ella,"Apartment Södermalm, Stockholm Charming newly restored 2-bedroom apartment with balcony at picturesque Mariaberget, Södermalm. The area is one of the most popular of Stockholm, close to cafés, restaurants, Old Town, museums and metro.",Södermalms,59.3201,18.05927,Entire home/apt,1900.0,27,2023-01-29,0.38,8,4.96,4.92,4.92,4.88,4.88,5.0,4.75
2017-05-25,120,2668289,7495360,Chris,The host canceled this reservation 15 days before arrival. This is an automated posting.,13658686,Elin,"3R apt close to Södermalm Charming, light, three-room apt on third floor in quiet area close to City centre. Close to public transportation (metro) which takes you to Södermalm in just a few minutes. Large recreational area (Nackareservatet) close by.<br /><br /><b>The space</b><br />The apartment has one large bedroom with a king size bed, and a smaller bedroom with a single bed (not a baby cot anymore like in the picture, however, travel baby cot can be provided when requested). Travel bed (single size) can be provided when needed, or the sofa can be used as a bed if preferred. The kitchen is newly renovated and fully equipped, with microwave oven and dishwasher. The spacious living room has a large dining place, and a comfortable sofa and flat screen TV. The bathroom has a shower. WiFi is available with password provided upon check-in. Towels and bed linen included. Washing machine in the bathroom.<br /><br /><b>Guest access</b><br />-<br /><br /><b>Other things to note</b><br />-",Södermalms,59.30371,18.09832,Entire home/apt,1058.0,72,2022-08-30,0.67,5,4.77,4.85,4.86,4.8,4.91,4.36,4.63
2016-04-25,122,2713653,16583440,Jean-Yves,The host canceled this reservation 8 days before arrival. This is an automated posting.,13887019,Martin,"35 sqm city flat in the heart of Kungsholmen Modern renovated (2017) flat with fully equipped kitchen and washing machine in the center of cosy Kungsholmen near Stockholm Central Station. I am looking for a long term tenant, with start in May 2022! Please contact me if this is interesting. /Martin",Kungsholmens,59.33017,18.03628,Entire home/apt,1000.0,12,2023-03-20,0.11,2,4.8,4.9,4.7,4.9,4.9,4.7,4.6
2016-04-25,122,2713653,67555107,Eija,The host canceled this reservation 22 days before arrival. This is an automated posting.,13887019,Martin,"35 sqm city flat in the heart of Kungsholmen Modern renovated (2017) flat with fully equipped kitchen and washing machine in the center of cosy Kungsholmen near Stockholm Central Station. I am looking for a long term tenant, with start in May 2022! Please contact me if this is interesting. /Martin",Kungsholmens,59.33017,18.03628,Entire home/apt,1000.0,12,2023-03-20,0.11,2,4.8,4.9,4.7,4.9,4.9,4.7,4.6
2015-08-04,123,2715352,40501839,Jana,The host canceled this reservation 274 days before arrival. This is an automated posting.,13894935,Lina,"Waterfront apartment city center for 6 pers Cosy and spacious 3 room flat at great location. Next to Långholmen park and water where you can swim, kayak, go for a walk. You spot the water from the living room. Also next to trendy Hornstull with plenty of bars, restaurants and a shopping mall.<br /><br /><b>The space</b><br />-Central location<br />-Big park, Långholmen, just in front of the building<br />-Quiet street with water view from the apartment<br />-Just 700m away trendy Hornstull<br />-Closeness to public transport, bus and metro, and City bike rental in front of the building<br />-Private patio on the yard<br /><br /><b>Guest access</b><br />The apartment, private patio, washing machine, dish washer, microwave, TV etc.",Södermalms,59.31951,18.03471,Entire home/apt,1800.0,39,2022-10-02,0.37,5,4.91,4.89,4.83,4.94,4.94,4.85,4.86
2016-03-02,123,2715352,46000597,Stefanie,The host canceled this reservation 117 days before arrival. This is an automated posting.,13894935,Lina,"Waterfront apartment city center for 6 pers Cosy and spacious 3 room flat at great location. Next to Långholmen park and water where you can swim, kayak, go for a walk. You spot the water from the living room. Also next to trendy Hornstull with plenty of bars, restaurants and a shopping mall.<br /><br /><b>The space</b><br />-Central location<br />-Big park, Långholmen, just in front of the building<br />-Quiet street with water view from the apartment<br />-Just 700m away trendy Hornstull<br />-Closeness to public transport, bus and metro, and City bike rental in front of the building<br />-Private patio on the yard<br /><br /><b>Guest access</b><br />The apartment, private patio, washing machine, dish washer, microwave, TV etc.",Södermalms,59.31951,18.03471,Entire home/apt,1800.0,39,2022-10-02,0.37,5,4.91,4.89,4.83,4.94,4.94,4.85,4.86
2017-01-26,123,2715352,18057110,Ines,The host canceled this reservation 21 days before arrival. This is an automated posting.,13894935,Lina,"Waterfront apartment city center for 6 pers Cosy and spacious 3 room flat at great location. Next to Långholmen park and water where you can swim, kayak, go for a walk. You spot the water from the living room. Also next to trendy Hornstull with plenty of bars, restaurants and a shopping mall.<br /><br /><b>The space</b><br />-Central location<br />-Big park, Långholmen, just in front of the building<br />-Quiet street with water view from the apartment<br />-Just 700m away trendy Hornstull<br />-Closeness to public transport, bus and metro, and City bike rental in front of the building<br />-Private patio on the yard<br /><br /><b>Guest access</b><br />The apartment, private patio, washing machine, dish washer, microwave, TV etc.",Södermalms,59.31951,18.03471,Entire home/apt,1800.0,39,2022-10-02,0.37,5,4.91,4.89,4.83,4.94,4.94,4.85,4.86
2017-12-09,123,2715352,154377160,Leonardo,The host canceled this reservation 25 days before arrival. This is an automated posting.,13894935,Lina,"Waterfront apartment city center for 6 pers Cosy and spacious 3 room flat at great location. Next to Långholmen park and water where you can swim, kayak, go for a walk. You spot the water from the living room. Also next to trendy Hornstull with plenty of bars, restaurants and a shopping mall.<br /><br /><b>The space</b><br />-Central location<br />-Big park, Långholmen, just in front of the building<br />-Quiet street with water view from the apartment<br />-Just 700m away trendy Hornstull<br />-Closeness to public transport, bus and metro, and City bike rental in front of the building<br />-Private patio on the yard<br /><br /><b>Guest access</b><br />The apartment, private patio, washing machine, dish washer, microwave, TV etc.",Södermalms,59.31951,18.03471,Entire home/apt,1800.0,39,2022-10-02,0.37,5,4.91,4.89,4.83,4.94,4.94,4.85,4.86
2015-04-08,124,2812410,7631401,Jeffrey,The reservation was canceled 15 days before arrival. This is an automated posting.,13609159,A,Nice city studio close to the water A very cute and light studio in the central of Stockholm. Close to the water and many restaurants and nice bars alround the corner. 15 minutes walking to the central station. Quiet street with easy communications all around Stockholm. Wi-fi included.<br /><br /><b>The space</b><br />The appartment is ideal for two persons but possible with 3 since I have a sofa.<br /><br /><b>Guest access</b><br />My guests will have access to the whole appartment.,Norrmalms,59.33674,18.06009,Entire home/apt,950.0,21,2017-02-10,0.2,0,4.18,4.59,4.35,4.29,4.82,4.65,4.18
2016-01-11,124,2812410,46237604,Ollie,The host canceled this reservation 122 days before arrival. This is an automated posting.,13609159,A,Nice city studio close to the water A very cute and light studio in the central of Stockholm. Close to the water and many restaurants and nice bars alround the corner. 15 minutes walking to the central station. Quiet street with easy communications all around Stockholm. Wi-fi included.<br /><br /><b>The space</b><br />The appartment is ideal for two persons but possible with 3 since I have a sofa.<br /><br /><b>Guest access</b><br />My guests will have access to the whole appartment.,Norrmalms,59.33674,18.06009,Entire home/apt,950.0,21,2017-02-10,0.2,0,4.18,4.59,4.35,4.29,4.82,4.65,4.18
2016-03-12,124,2812410,21198851,Lotte,The host canceled this reservation 86 days before arrival. This is an automated posting.,13609159,A,Nice city studio close to the water A very cute and light studio in the central of Stockholm. Close to the water and many restaurants and nice bars alround the corner. 15 minutes walking to the central station. Quiet street with easy communications all around Stockholm. Wi-fi included.<br /><br /><b>The space</b><br />The appartment is ideal for two persons but possible with 3 since I have a sofa.<br /><br /><b>Guest access</b><br />My guests will have access to the whole appartment.,Norrmalms,59.33674,18.06009,Entire home/apt,950.0,21,2017-02-10,0.2,0,4.18,4.59,4.35,4.29,4.82,4.65,4.18
2016-10-18,124,2812410,2989043,Maria,The host canceled this reservation the day before arrival. This is an automated posting.,13609159,A,Nice city studio close to the water A very cute and light studio in the central of Stockholm. Close to the water and many restaurants and nice bars alround the corner. 15 minutes walking to the central station. Quiet street with easy communications all around Stockholm. Wi-fi included.<br /><br /><b>The space</b><br />The appartment is ideal for two persons but possible with 3 since I have a sofa.<br /><br /><b>Guest access</b><br />My guests will have access to the whole appartment.,Norrmalms,59.33674,18.06009,Entire home/apt,950.0,21,2017-02-10,0.2,0,4.18,4.59,4.35,4.29,4.82,4.65,4.18
2013-08-07,8,299863,7896022,Patrice,The reservation was canceled 17 days before arrival. This is an automated posting.,1322033,Anna,"Playful temple with genuine meetings for big&small You are welcome to the big and bright room in my 2 room apartment with playing/sleeping corner in a hip residential area of Stockholm Hägersten just across the bridge from the Central Stockholm and 10 minutes from the Central Station by subway!<br /><br /><b>The space</b><br />The area is very green and quiet close to the water with the magnificent view over the Stockholm archipelago consisting of 14000 islands) but also within the few minutes walking to Konstfack, Hyper island digital leadership school, famous restaurants Landet by Telefonplan subway station, Svenska Sushiköket in Midsommarkranden, hip<br />Italian restaurant Furellios in the next building and a few bus stops to a big shopping mall by Liljeholmen.<br /><br />There is a bath tube in the bathroom and big spacious kitchen with refrigerator and oven and table for 4-6 persons. In the room the door a a playing corner with a kings size playing/sleeping madness and a couch that also can accommodate 2 ppl.<br /><br />Playing o",Hägersten-Liljeholmens,59.30318,17.99521,Entire home/apt,750.0,41,2023-03-13,0.3,4,4.57,4.43,4.51,4.66,4.76,4.27,4.41
2014-06-10,127,2880914,16360204,Mia Charlotte,The reservation was canceled 29 days before arrival. This is an automated posting.,14220379,Isabelle,"Central apartment in Stockholm City This is a lovely apartment located right in the center of Stockholm, near Central Station, museums, sightseeing, queen street and more. It's perfect for two people, couples or friends and has a great view!<br /><br /><b>The space</b><br />The apartment has lovely view and there is also two balconies on the floor. The bed is comfortable for two persons and there is also a sofabed for 2 extra persons.<br /><br /><b>Guest access</b><br />Wifi, TV is included and if you come by car there is a parking outside. You will have the whole apartment for yourself. Towels, sheets, schampoo will be provided. You will also have haidryer, coffemaker, teamaker, fan and tourist broshures at the apartment.<br /><br /><b>Other things to note</b><br />Airport transfers can be arranged at certain hours per day for an additional sum of 500 SEK. If it's a desire please ask before making any reservations.",Norrmalms,59.33786855658246,18.04763076283234,Entire home/apt,602.0,167,2023-02-08,1.54,6,4.57,4.59,4.57,4.69,4.81,4.67,4.48
2015-10-07,9,301680,44062337,Lennart,The host canceled this reservation 23 days before arrival. This is an automated posting.,1554143,Anitta,"one cosy double room for rent there are several rooms in the house, the smallest for 300 (breakfast selfservice), the double room for 750,  if you get the bigger room for the lower price,breakfast is self-service. It means that there is coffee or tea, marmelade and bread for you.<br /><br /><b>The space</b><br />Your room is cosy and independent, with private shower during your stay and there is free access to internet. <br /><br />TV-room. Continental breakfast and lunch included, exception if reduced prices (in the wintertime) then there are no meals included but they can be bought for extra surcharge. Fresh linens and towels. Wireless internet. <br /><br />One or two people, min two nights max two weeks. We have been hosting people from allover the world since 1997, you are welcome! Do you wish to learn Swedish, we will teach you!<br /><br /><b>Guest access</b><br />A modern kitchen is available for cooking, dining room for having your meals. Parking is free outside on the street (quiet area). Washing maskin has",Älvsjö,59.27635,17.99165,Private room,750.0,36,2022-04-29,0.28,1,4.61,4.47,4.72,4.66,4.53,4.44,4.59
2016-08-22,9,301680,82140218,Ann Sophie,The host canceled this reservation 2 days before arrival. This is an automated posting.,1554143,Anitta,"one cosy double room for rent there are several rooms in the house, the smallest for 300 (breakfast selfservice), the double room for 750,  if you get the bigger room for the lower price,breakfast is self-service. It means that there is coffee or tea, marmelade and bread for you.<br /><br /><b>The space</b><br />Your room is cosy and independent, with private shower during your stay and there is free access to internet. <br /><br />TV-room. Continental breakfast and lunch included, exception if reduced prices (in the wintertime) then there are no meals included but they can be bought for extra surcharge. Fresh linens and towels. Wireless internet. <br /><br />One or two people, min two nights max two weeks. We have been hosting people from allover the world since 1997, you are welcome! Do you wish to learn Swedish, we will teach you!<br /><br /><b>Guest access</b><br />A modern kitchen is available for cooking, dining room for having your meals. Parking is free outside on the street (quiet area). Washing maskin has",Älvsjö,59.27635,17.99165,Private room,750.0,36,2022-04-29,0.28,1,4.61,4.47,4.72,4.66,4.53,4.44,4.59
2017-09-07,9,301680,139443806,Stewart,The host canceled this reservation 2 days before arrival. This is an automated posting.,1554143,Anitta,"one cosy double room for rent there are several rooms in the house, the smallest for 300 (breakfast selfservice), the double room for 750,  if you get the bigger room for the lower price,breakfast is self-service. It means that there is coffee or tea, marmelade and bread for you.<br /><br /><b>The space</b><br />Your room is cosy and independent, with private shower during your stay and there is free access to internet. <br /><br />TV-room. Continental breakfast and lunch included, exception if reduced prices (in the wintertime) then there are no meals included but they can be bought for extra surcharge. Fresh linens and towels. Wireless internet. <br /><br />One or two people, min two nights max two weeks. We have been hosting people from allover the world since 1997, you are welcome! Do you wish to learn Swedish, we will teach you!<br /><br /><b>Guest access</b><br />A modern kitchen is available for cooking, dining room for having your meals. Parking is free outside on the street (quiet area). Washing maskin has",Älvsjö,59.27635,17.99165,Private room,750.0,36,2022-04-29,0.28,1,4.61,4.47,4.72,4.66,4.53,4.44,4.59
2017-07-04,10,302496,15419456,Patrick,The host canceled this reservation 52 days before arrival. This is an automated posting.,1557657,Seta,"Spacious, bright, unique apartment This unique apartment is situated in Vasastan, with great restaurants, trendy bars and coffee shops just outside the door. Built in 1915, the apartment has an open architecture, with a modern interior design and inspiring art and paintings.<br /><br /><b>The space</b><br />The apartment is located in a prestigious building from 1915 in the heart of Stockholm.<br />It is a 6 room apartment with one Master Bedroom and, smaller bedroom, a living room with a nice bay window, a spacious dining room for up to 16 guests, a Swedish library and a nice round lounge hall with a welcoming fireplace. <br />The apartment has a modern interior design and a comfortable atmosphere. A sunny brightness comes from the large and many windows, the high ceiling and the broad opening between the three rooms in line (dining room, living room and library) <br />Staying there is almost to be in the city center, it only takes you some minutes to walk down town. In the close area you have everything you need for y",Norrmalms,59.34685,18.06056,Entire home/apt,3000.0,85,2023-03-20,0.65,13,4.96,4.92,4.8,4.96,4.98,4.98,4.86
2019-10-09,129,2995648,898529,Irene,The host canceled this reservation the day before arrival. This is an automated posting.,8098890,Robin,"Experience more This apartment is designed by Stockholms most famous Graffiti artists, KAOS & KLIVE. It has two bedrooms with two king size beds of 180cm perfectly for two couples or 4 family members. Bed sheets, towels & wifi are included in the price.<br /><br />The apartment is central located at Mariatorget so you are in the middle of shopping, sightseeing, pubs and clubs. The old town is just 15 minutes away by foot.<br /><br /><b>The space</b><br />4 people can stay in my apartment. Pets and parties are not allowed!<br /><br />Free wifi, cooking facilities, dishwasher, fridge and freezer.<br /><br />I will help you with everything that you need to get around the city. Im not staying in the apartment while you are there but you can get in contact with me by phone 24 hours/day. <br /><br />""Mariatorget"" is located in the central part of Södermalm, the big south island in the central Stockholm. <br /><br />The apartment is 2 minutes by foot from subway station ""Mariatorget"", three stations away fro",Södermalms,59.31512,18.06252,Entire home/apt,2150.0,149,2023-03-26,1.38,44,4.88,4.93,4.9,4.96,4.97,4.95,4.78
2018-10-28,131,3039106,183559276,Robert,The host canceled this reservation 63 days before arrival. This is an automated posting.,6790299,Magnus,"A one-of-a-kind apartment, overlooking the park This fantastic 120 square meter apartment is situated in the center of Stockholm, just by the Vasaparken parc. The apartment is completely renovated, with 3 bedrooms and all possible equipment. The apartment has a 45 square meter roof terrace with a private orangery (glass house) with fireplace, a barbecue outside, and all the herbs you need for your dinner or your cocktails. The apartment has been featured in Elle Decoration and other magazines.",Norrmalms,59.34316,18.04366,Entire home/apt,1750.0,33,2023-01-02,0.31,6,5.0,4.97,4.94,5.0,4.97,4.97,4.88
2016-03-16,132,3092308,25396875,Wayne,The host canceled this reservation 2 days before arrival. This is an automated posting.,4736776,Björn,"Urban/Nature Stockholm This is the perfect combination of nice living in a very green area, you live like in a park next to a lake, but still only ten minutes beautiful walk in the forest to the underground station. Then another ten minutes and you are in the city centre.<br /><br /><b>The space</b><br />Its a really nice spacious flat with great view over Stockholm. Note: minimum stay is two nights. The lower bed is 120 cm and the top bed is 80 cm. In the nearby Liljeholmen center you have the underground, only five stops to T-Centralen, and about 50 shops and restaurants where you can find anything you need. Just cross the bridge and you are in the hip Hornstull, Södermalm with plenty of cool bars and restaurants.<br /><br /><b>Guest access</b><br />You can use the living room, kitchen and balcony as you feel like. Feel free to make yourself a coffee or a tea or have a juice. There is also bread, cheese, musli, yoghurt – all you need for a breakfast.<br /><br /><b>Other things to note</b><br />There is som",Hägersten-Liljeholmens,59.31377,18.01204,Private room,350.0,121,2020-03-10,1.13,0,4.9,4.96,4.83,4.9,4.95,4.77,4.85
2018-10-30,132,3092308,1702229,Michael,The host canceled this reservation 10 days before arrival. This is an automated posting.,4736776,Björn,"Urban/Nature Stockholm This is the perfect combination of nice living in a very green area, you live like in a park next to a lake, but still only ten minutes beautiful walk in the forest to the underground station. Then another ten minutes and you are in the city centre.<br /><br /><b>The space</b><br />Its a really nice spacious flat with great view over Stockholm. Note: minimum stay is two nights. The lower bed is 120 cm and the top bed is 80 cm. In the nearby Liljeholmen center you have the underground, only five stops to T-Centralen, and about 50 shops and restaurants where you can find anything you need. Just cross the bridge and you are in the hip Hornstull, Södermalm with plenty of cool bars and restaurants.<br /><br /><b>Guest access</b><br />You can use the living room, kitchen and balcony as you feel like. Feel free to make yourself a coffee or a tea or have a juice. There is also bread, cheese, musli, yoghurt – all you need for a breakfast.<br /><br /><b>Other things to note</b><br />There is som",Hägersten-Liljeholmens,59.31377,18.01204,Private room,350.0,121,2020-03-10,1.13,0,4.9,4.96,4.83,4.9,4.95,4.77,4.85
2018-04-22,133,3101290,83006938,Benedicte,The host canceled this reservation 67 days before arrival. This is an automated posting.,14369794,Anna,"House with  garden in lovely Enskede Located in trendy Hornstull, close to swimming areas, fantastic sea, playgrounds, green areas, bars, restaurants and plenty of cafés. Everything in Stockholm is within reach, either by foot or public transport. Children and grown-up people-friendly!<br /><br /><b>Guest access</b><br />The whole apartment will be yours.",Farsta,59.26879,18.07823,Entire home/apt,2200.0,15,2022-08-03,0.16,1,5.0,4.82,5.0,4.82,4.91,4.73,4.64
2018-04-29,133,3101290,103934009,Nicolas,The host canceled this reservation 100 days before arrival. This is an automated posting.,14369794,Anna,"House with  garden in lovely Enskede Located in trendy Hornstull, close to swimming areas, fantastic sea, playgrounds, green areas, bars, restaurants and plenty of cafés. Everything in Stockholm is within reach, either by foot or public transport. Children and grown-up people-friendly!<br /><br /><b>Guest access</b><br />The whole apartment will be yours.",Farsta,59.26879,18.07823,Entire home/apt,2200.0,15,2022-08-03,0.16,1,5.0,4.82,5.0,4.82,4.91,4.73,4.64
2019-05-24,133,3101290,29716847,Nancy Moïse,The host canceled this reservation 50 days before arrival. This is an automated posting.,14369794,Anna,"House with  garden in lovely Enskede Located in trendy Hornstull, close to swimming areas, fantastic sea, playgrounds, green areas, bars, restaurants and plenty of cafés. Everything in Stockholm is within reach, either by foot or public transport. Children and grown-up people-friendly!<br /><br /><b>Guest access</b><br />The whole apartment will be yours.",Farsta,59.26879,18.07823,Entire home/apt,2200.0,15,2022-08-03,0.16,1,5.0,4.82,5.0,4.82,4.91,4.73,4.64
2019-05-24,133,3101290,170606723,Nicole,The host canceled this reservation 71 days before arrival. This is an automated posting.,14369794,Anna,"House with  garden in lovely Enskede Located in trendy Hornstull, close to swimming areas, fantastic sea, playgrounds, green areas, bars, restaurants and plenty of cafés. Everything in Stockholm is within reach, either by foot or public transport. Children and grown-up people-friendly!<br /><br /><b>Guest access</b><br />The whole apartment will be yours.",Farsta,59.26879,18.07823,Entire home/apt,2200.0,15,2022-08-03,0.16,1,5.0,4.82,5.0,4.82,4.91,4.73,4.64
