id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_description
302496,1557657,Seta,Norrmalm,59.34685,18.06056,Entire home/apt,3000.0,85,2023-03-20,0.65,13,4.96,4.92,4.8,4.96,4.98,4.98,4.86,"Spacious, bright, unique apartment This unique apartment is situated in Vasastan, with great restaurants, trendy bars and coffee shops just outside the door. Built in 1915, the apartment has an open architecture, with a modern interior design and inspiring art and paintings.<br /><br /><b>The space</b><br />The apartment is located in a prestigious building from 1915 in the heart of Stockholm.<br />It is a 6 room apartment with one Master Bedroom and, smaller bedroom, a living room with a nice bay window, a spacious dining room for up to 16 guests, a Swedish library and a nice round lounge hall with a welcoming fireplace. <br />The apartment has a modern interior design and a comfortable atmosphere. A sunny brightness comes from the large and many windows, the high ceiling and the broad opening between the three rooms in line (dining room, living room and library) <br />Staying there is almost to be in the city center, it only takes you some minutes to walk down town. In the close area you have everything you need for y"
313195,956221,David,Norrmalm,59.34737,18.04984,Entire home/apt,1130.0,84,2023-03-23,0.65,39,4.78,4.8,4.57,4.84,4.78,4.67,4.67,"Design, style & vintage by Odenplan In this stylish and cozy two-room apartment for up to five people, you will find all the comfort you need. High-speed internet, beautiful designer furniture and a well-equipped kitchen. I always try to make my guests feel special and well taken care of.<br /><br /><b>The space</b><br />This comfortable apartment is located in central Stockholm, a few minutes' walk from Odenplan. You can stay here up to five people. There is a bedroom with a 180 cm double bed (king size), and a sleeping alcove in the living room with a 180 cm double bed (king size). In addition, there is a large sofa that can easily be converted into a bed for a fifth person.<br /><br />The kitchen is equipped with what you need to cook and basic ingredients such as olive oil, coffee, salt, etc. There is also a small folding table here, perfect for a lunch or ""coffee"" for two people.<br /><br />The living room is cozy and large with good opportunities to have a long breakfast, work during the day or have a good dinner i"
313763,1533849,Martin P.,Norrmalm,59.34283,18.0493,Private room,430.0,51,2019-09-26,0.39,0,4.9,4.92,4.8,4.92,4.94,4.92,4.73,"Excellent location in the city center Trendy Vasastan in the city center. Walking distance to all sights and nice bars, restaurants and funky shops in the area. Subway, train and buses 1 min away. This is one of the most popular areas among the locals of Stockholm!<br />Elevator in the building. No kids as guests.<br />Ultra fast internet connection, 250 mbit/s and a large 75 inch TV.<br /><br /><b>The space</b><br />Just by the Odenplan plaza in the heart of Vasastan in Stockholm city center.  In the living room there is a large comfy sofa, a table to eat and the exit to the terrace. There is also a working fireplace, a big screen TV including many international channels and Netflix. Chromecast to watch online material. <br /><br />The kitchen is very well equipped with the best kitchenware. Coffee machine, grinder, mixer, microwave, gas stove and electric oven. There is an ice machine and a large dishwasher. The bathroom has a washing machine and a WC/shower. I also provide a hair dryer.<br /><br />The view is stunning f"
380611,1322033,Anna,Enskede-Årsta-Vantör,59.25357,18.02841,Private room,330.0,29,2019-08-23,0.22,0,4.24,4.41,4.66,4.46,4.83,4.32,4.5,"Big & bright room close to town and nature! Bright spacious room in three room flat available to accommodate up to 5 people. There is one queen size bed, one couch and possibility to put a king size madness oh the floor, plus three spacy wardrobes and other smaller shelfes, table with printer and computer are accessable to use. Fast WIFI internet. Big bathroom with tab and separate toilet, big working kitchen with table for 4. Blankets/shits/towels are provided. Washing machine and a dryer in the basement possible to book.<br /><br /><b>The space</b><br />Bright spacious room i three room flat available to accommodate up to 5 people. TV and fast WIFI internet. Big balcony, bathroom with tab and separate toilet, big working kitchen with table for 4. Blankets/shits/towels are provided. Washing mashing and a dryer in separate building possible to book.  <br /> <br />Very green and beautiful kids‐friendly area, but 10 minutes walk to the metro station, 3 minutes ride to à big shopping mall and 15 minutes to Stockholm City. Cheap int"
385701,1930434,Alex,Farsta,59.25094,18.09676,Entire home/apt,1200.0,8,2022-08-05,0.08,1,4.13,4.38,3.63,4.71,4.71,4.14,4.14,"Terrace house in Stockholm, Farsta One of the finest architectural  houses from the sixties in Sthlm suburb-Farsta. 17 minutes from Stockholm center. Big house, 130 m2. Terrace, balcony and a small garden. Situated with nice wiews to the park, and road further away. There​ is a highway 500 meters away, so if you are searching for totally quietness Farsta is not the place. 7 minutes walk to beach and near to fantastic nature, 2km to Farstanäset; nature reserve. And nice walks by the lake.<br />Wifi 100/100mbit.<br /><br /><b>The space</b><br />Fantastic house. Architectural must see from the 60-ies in fantastic suburb Farsta. The house is not new, and we have done everything we can to preserve the old details and charm. We are eco friendly, our furnitures are vintage and we do not prefer new things.<br /><br /><b>Guest access</b><br />The whole house.<br /><br /><b>Other things to note</b><br />Park just in front of building, and road a bit further.<br />House is clean when arriving, please leave it that way when leaving"
438129,914316,Ea,Enskede-Årsta-Vantör,59.26424,18.02277,Private room,350.0,28,2023-03-09,0.21,5,4.79,4.75,4.82,4.96,5.0,4.5,4.68,"Bunk bed close by Alvsjo Exhibition <b>The space</b><br />One bunk bed (IKEA style) 80 by 200 cm, in my office room in my house. Are you working or visiting at the Alvsjo Exhibition Fair in Stockholm?  Then this place is the perfect place!  <br /> <br />I live only 20 minute walk from the fair! 10 minute walk to the subway (Green Line 19) and two grocery stores and about 22 min into Central Stockholm by Subway.  <br /> <br />You can use the fully equipped kitchen to cook for breakfast and dinner (has electric stove, oven and microwave), and then there´s the livingroom you can be in with a comfortable couch and big screen TV for relaxation!  <br /> <br />For houserules and directions please see my other listing or contact me. Please no smokers and since I have children in the house, no drinking in the house, no guests allowed and not so loud after 8 PM.<br /><br /><b>Guest access</b><br />Bedroom, kitchen (including space in kitchen and freezer), downstairs bathroom with shower, livingroom."
442837,2200827,Jo,Hägersten-Liljeholmen,59.31059,18.02369,Private room,560.0,98,2022-10-16,0.74,2,4.63,4.76,4.57,4.83,4.84,4.66,4.49,"Modern single room in Stockholm with Wi-fi Single room in a modern and bright apartment in Stockholm with free WiFi access in a calm and green area.<br /><br />Located just 5-10 mins from the city center by metro. Easy access by public transport to all the cities sightseeing spots (Old Town, Vasa museum, the City Hall, Södermalm, Stockholmmässan, Globen, etc). <br /><br />Almost door-to-door access from Arlanda airport with direct bus (flygbussarna) to Liljeholmen stopping 30 meters from my building.<br /><br /><b>The space</b><br />I'm renting out a nice single room in a modern three-rooms apartment in Liljeholmen (name of the metro station on the red line), which is located just 5-10 mins south of the city center of Stockholm. Very convenient if you want to sightseeing the city center or go to the Stockholm fair in Älvsjö or if you going to event in Globe or Tele2 areas or if you work in Marievik (H&M, etc)<br /><br />BEDROOM: <br />The bedroom has a single bed (120x200cm), desk and bookshelf. The bed linen and towels are pro"
451155,2240860,Malin,Enskede-Årsta-Vantör,59.28003,18.05527,Entire home/apt,2200.0,25,2022-07-24,0.2,1,4.65,4.8,4.4,4.7,4.96,4.84,4.48,"Spacious house in Stockholm Well designed and a cosy place close to city. Very calm and with many good reviews.<br /><br /><b>The space</b><br />The flat in the house is open planned so there is a large livingroom combined with the kitchen. It is very light since there are many large windows. In the kitchen you will find everything you need like dishwasher, stove, espressomachine etc. The livingroom has a large TV, DVD player, Wireless Internet. And a balcony facing southwest. On this top floor, there are three bedrooms, two bedrooms with single beds and one bedroom with a large doublebed. Furthermore, there is one bathroom with bathtub and toilet. In the basement there is a joint laundryroom that is shared with the other flat in the house. <br />The house is very calm and well designed, and it is located just 8km (5 miles) from the citycenter of Stockholm. You just take the tube 5 stops and you are downtown. There is a large grocery store next to Svedmyra tube station. <br />And when you come home you can spend "
475409,2356697,Cor,Södermalm,59.31412,18.08274,Private room,508.0,44,2017-06-29,0.33,0,4.54,4.37,4.63,4.71,4.8,4.76,4.41,"CHARMING 1 Bed Room in City Center (share) Amazing Views!<br /><br /><b>The space</b><br />Charming 1 Bedroom in a 18th century building. You will have privacy in the bedroom and I will be in the living room. The apartment is  Spacious , has a welcoming hallway with wardrobe, beautiful wooden floor, very high ceiling, full kitchen with all necessary fittings and bathroom with shower.<br /><br />The room has a work desk for working and you can have access to a computer on weekends. You will also have your own private balcony.   The street is quiet so no noise at nigh<br /><br />The apartment is located in the heart of bohemian Södermalm (only a 3 min walk to the old town). The area is packed with interesting, trendy and creative shops for fashion, design, interior, vintage, second hand, modern antiques, books, magazines and records.<br /><br />This is one of the most popular areas in Stockholm and there are plenty of cozy coffee shops, bars, restaurants and galleries. <br />From the apartment you can walk to the Royal Castle and"
488427,2320343,Elisabeth,Södermalm,59.31525,18.08631,Entire home/apt,2850.0,37,2022-08-28,0.28,4,4.97,4.92,4.86,4.94,4.92,4.92,4.83,"Sofo, perfect with kids! Sofo, perfect with kids!<br /><br /><b>The space</b><br />Our sunny apartment is on the 3rd (top) floor of a 19th century building. No elevator. It's 84 sqm (900 sft), well planned and clean. Nice neighbors. <br /><br />The kitchen can seat up to 6 people. It's well equipped for cooking, including an induction stove, hot-air oven, microwave and dishwasher.<br /><br />There are two bedrooms:<br />The master bedroom has a king-size bed (180x200cm).<br />The other bedroom has a double bed (140x200cm), an office area and a cross trainer for those who wish. We have also kept a bunch of toys.<br /><br />The spacious livingroom offers a dining table for 6, a couch with chaise lounge and a reclining armchair. There’s a LCD 32"" TV + Apple TV with Netflix, HBO, Prime and Disney included and on-demand features if you have an Apple ID. There is also a hi-quality guest bed (single) with curtains for privacy, a drawer for clothes and a small nightstand.<br /><br />The bathroom has a shower, but no b"
514133,2532579,Mira,Norrmalm,59.33992,18.04361,Entire home/apt,1650.0,8,2022-12-23,0.07,3,4.88,4.86,4.71,4.86,5.0,5.0,4.5,"City Apartment - 1 bedroom all furnished and fresh This cosy -50 sqm/538 sqft - modern apartment is the perfect choice for friends or family with up to three persons who want both, to be in the heart of the city and at the same time have privacy.<br /><br /><b>The space</b><br />It is located in Odenplan, in the district of Vasastan, surrounded by many restaurants, bars, cafés and shopping, just a few steps from Vasaparken (the green park). Perfect home base to explore Stockholm, it is central but quiet. Situated on the 2rd floor with a balcony make staying at the apartment particulary pleasant.<br /><br /><b>Guest access</b><br />Included is Cable TV, Internet (wifi), Dishwasher, and Washing Maschine. There are parking parking outside street with a payment machine. Linens and towels will also be provided.<br /><br /><b>Other things to note</b><br />In this apartment, there is a spacious living room area includes a TV and comfortable sofa, that is easily converted into a double size bed. A fully equipped modern kitchen with a dining ta"
533880,2624450,Jarl,Östermalm,59.34412,18.08957,Private room,621.0,105,2018-08-08,0.8,0,4.78,4.83,4.73,4.86,4.9,4.72,4.7,"Nice room Erik Dahlbergsgatan Looking for long term guest (months). The room is situated in Stockholm's best (posh) area. Calm, safe and close to everything including public transportation. I will do everything to accomodate you and your needs! Looking for long term guest.<br /><br /><b>The space</b><br />The room is situated in Stockholm's best (posh) area. Calm, safe and close to everything including public transportation. I will do everything to accomodate you and your special needs! Welcome to book!<br /><br />300 meters from the apartment there is a Thai takeaway place. 9 Euros per supersized portion. A genuin, classy chinese restaurant is just two blocks from here - Conton at Erik Dahlbergsgatan 41. At Valhallavägen 131 you find the ""word famous"" Greek restaurant Kouzina, which I could higly recommend. Always crowded and delicious meals at resonable prices. <br /><br />In the classy shoppingcenter Fältöversten three blocks from here you find the best of Sushi, Swedish ""husmanskost"", classic Swedish coffee sho"
536691,2636194,Cecilia,Södermalm,59.31863,18.05503,Entire home/apt,1130.0,90,2022-08-11,0.69,2,4.63,4.73,4.46,4.51,4.7,4.9,4.7,"Charming flat in Södermalm <b>The space</b><br />Welcome to a very light and sunny 2.5 rooms flat in Södermalm. <br />The flat is located on the fifth floor of a 1930's charming building with elevator and has a bedroom with a double bed, a fully equipped kitchen, a separate dining area, a living room, a bath room with a bath-tub, an open fire place and two balconies. WiFi access <br /> <br />It is situated right in the center of Södermalm, Stockholm, with lots of restaurants, bars, cafés, in the area. You will also find banks, all forms of shops, grocery stores and the public metro within walking distance.  <br />The area offers great walking, nice parks and you are 10 minutes walk from the Old Town, 'Gamla Stan'. <br /> <br />It takes 15 minutes to reach the central station and to continue to Arlanda Airport with Arlanda Express train, you arrive in 20 minutes. <br />You also have the option of taking the airport coach, which takes 40 minutes. <br />Airport coaches to Bromma Airport and Skavsta, stop at the cen"
539747,2651868,Helena,Skarpnäck,59.2783119,18.1181517,Entire home/apt,2150.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lovely villa, with cinema, gym and jacuzzi! Lovely villa in one of Stockholm's finest suburbs, just south of Stockholm, perfect for families with children. Two bedrooms, guest room and sofa bed in the basement. Two full bathrooms, three toilets. Sleeps up to 6 people.<br />Jacuzzi, gym and cinema lounge. South facing garden, adjoining a quiet little playground.<br /><br />Near the Nacka natural park and Tele2/Globen Arena. Walking distance to subway, 15 minutes to city centre and international fair.<br /><br />Room for two cars on the private parking area.<br /><br /><b>The space</b><br />Lovely villa in one of Stockholm's finest suburbs, just south of Stockholm, perfect for families with children. <br /><br />The beautiful garden, with bbq and trampoline, is located in a south facing position with sunlight from sunrise to sunset. The garden adjoins a quiet little playground.<br /><br />The ground floor has an open floor plan with kitchen, dining and living room, featuring a comfy corner sofa and tiled stove. The kitchen table c"
556363,2735709,Lennard,Norrmalm,59.34171,18.03712,Entire home/apt,1080.0,45,2022-02-25,0.47,0,4.6,4.7,4.45,4.7,4.73,4.9,4.45,"Spacious apartment at top location <b>The space</b><br />Spacious apartment at top location. This light apartment offers all the comfort to make your visit to Stockholm pleasant. At the moment one bedroom is looked and not open for guests.  Bathroom is under construction but everything works fine. <br />Everything you need is just around the corner.<br />This is a very nice, large and fully equipped apartment.<br />Subway across the street and bus stations nearby. In the middle of many restaurants and cafés in the area, from Vanadisplan to Rörstrandsgatan and also close to Vasaparken which lays between the two squares Odenplan and Sankt Eriksplan.<br /><br />Facts about the apartment: Number of rooms: 2,5<br />Number of bedrooms: 1 (one room is looked at the moment)<br />Bed size(s): 1 queen size bed 180 cm 2 person or split to two 90 cm beds + 1 sofa to use as bed.  <br />Number of bathrooms: 1 <br />Bathroom include: Shower <br />Internet Connection: Wireless <br />TV: Cable <br />Washing machine: Yes <br />Microwave:"
560308,2755002,Checkin,Bromma,59.33536,17.97669,Entire home/apt,1760.0,13,2022-10-13,0.1,5,4.67,4.54,4.46,4.85,4.77,4.38,4.23,"Great 2 bedroom apartment Stockholm Newly renovated 2 bedroom apartment in great shape. Master bedroom with double bed (160 cm wide). Second bedroom with single bed. There is also an extra-bed and a baby-bed. <br /><br />New kitchen and new bathroom.<br /><br /><b>The space</b><br />Welcome to a two bedroom apartment in Stockholm.  <br /> <br />Nicely renovated and furnished apartment. <br /> <br />The apartment has space for up to six people. A Master bedroom with a double bed and a secondsmaller  bedroom with two single beds. <br /> <br />The living room has a daybed plus an extra bed available, as well as a baby cot. More to it, you have a fully equipped kitchen, a living room with a TV, closets in the hallway, Internet access and a bathroom with a shower. <br /> <br />Its location is close to central Stockholm, with excellent public transportation, a few steps away. You are as well close to a medical care centre, a pharmacy, a smaller convenient store and some smaller restaurants. There is also a shopping mall just a"
565912,2782963,Patrik,Hägersten-Liljeholmen,59.31711,18.00519,Entire home/apt,3389.0,21,2021-08-07,0.18,0,4.76,4.72,4.89,4.89,4.94,4.78,4.72,"Savor Sea Views at a Sweet Retreat with Heaving Bookshelves Velcome to our beautiful romantic house with a lush enclosed garden and sea view!<br />This 160 square meter private house is situated in the area Gröndal, on walking distance to hip Södermalm and close to city center. The house has three big bedrooms, all with a sea view; One master bedroom with a queen size bed, balcony and private bathroom. The other two bedrooms have one and two beds each. There is a big kitchen with all facilities and a sunny dining room, two living rooms with comfortable couches, one with a big screen TV, DVD and Apple TV. There is one more bathroom in the house equipped with a romantic bathtub. <br />The house has a private parking space and free WiFi.<br /><br />In the garden there is several seating areas for bbq, dining and relaxing. If it is a hot summer day, and you care for a swim, the big lake Mälaren is only 200 m away. The small lake Trekanten with a nice beach for the kids is also very close.<br /><br />The area Gröndal have fantastic parks, cafés and "
568341,2755002,Checkin,Kungsholmen,59.33583,18.02983,Entire home/apt,1095.0,17,2023-02-26,0.19,13,4.71,4.88,4.82,4.94,4.88,5.0,4.5,"Junior 1 bedroom Apartment Stockholm 2 Great 1 Junior bedroom apartment (larger than a studio, smaller than a proper 1 bedroom). Newly renovated and in great location, very centrally and convenient in Stockholm. Quiet and the apartment faces out to a private park.<br /><br /><b>The space</b><br />Junior 1 bedroom apartment on Kungsholmen in central Stockholm. Nice charming building with newly renovated apartment with nice furnishing. <br /> <br />Bigger than a studio, but smaller than a proper 1 bedroom apartment, this Junior 1 bedroom apartment gives you the best of two worlds. <br /> <br />Charming apartment with high ceilings, wooden floors and french windows. Bright and nice apartment. <br /> <br />Fully equipped kitchen, bed area with 120 cm wide bed. Sofa-bed in livingroom. Extra-bed available. <br /> <br />Living room with sofa, dining table, TV, Internet access and closet. <br /> <br />Great bathroom with shower, sink and toilet. Hallway with storage unit. <br /> <br />Nice apartment with great location in central S"
581243,2860556,Edwin,Östermalm,59.33894,18.0919,Private room,490.0,675,2023-02-25,5.18,65,4.92,4.94,4.98,4.93,4.93,4.88,4.85,"Great Room in City Center <b>The space</b><br />Read carefully, I am renting only a room, not the entire apartment. The apartment is located just in front of the metro station Karlaplan, and 4 minutes (2 metro stops), or 25 minutes walk from the heart of the city T-Centralen (Central train station and Airport buses).<br /> <br />The most popular Stockholm touristic attractions are only 5-7 minutes walk distance from the apartment.<br /><br />The neighborhood is quiet and have a nice garden with shopping center on the ground floor, with food, shops, cafes, restaurants, etc<br /><br />The room has a bed 140 x 200 cm., the bathroom and WC is shared.<br /><br />Calendar is up to date, please use the book now button to calculate price.<br />Price includes:<br /><br />- Clean towels & bed linen<br />- Full access to the kitchen<br />- Free Hi-speed WiFi<br /><br />The price that appears here..on the right side of this website is the price, I don't change the prices depending on something…<br />Also if the system says"
708979,1842108,Samuel,Skarpnäck,59.29264068603516,18.11241912841797,Entire home/apt,552.0,7,2018-07-29,0.06,0,5.0,5.0,5.0,5.0,5.0,4.71,4.86,"Mysig lägenhet nära stad och natur Mysig trerumslägenhet i Björkhagen. Vi har fina möbler och en hemtrevlig atmosfär. Det tar dig 8 minuter till centrum av Stockholm ( Södermalm) men utanför dörren väntar naturreservat med närhet till både sjöar och skog.<br /><br /><b>The space</b><br />Lägenheten ligger i Björkhagen och är 73 kvm fördelade på 3 rum + kök + balkong. Lägenheten är väldigt fin, stambytt och mycket trevlig. Lägenheten hyrs ut möblerad och fullt utrustad. Det finns tvättmaskin och diskmaskin i köket. På 15 min tar du dig på cykel till Södermalm. (Du kan låna en cykel/ar av oss om du/ni vill). Med tunnelbanan som ligger fem min bort tar det 15 min till T-centralen. Området är mycket trevligt och barnvänligt. Runt husknuten ligger Nytorps gärde med härliga promenadstråk, utegym utepool och direkt anslutning till Nackareservatet. Är det snö kan man åka skidor från dörren rakt ut i träningsspåret.<br /><br /><b>Guest access</b><br />Du kommer få tillgång till hela lägenheten. Vi kommer göra plats i en garderob"
